elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P04;P05;P06;P07;P0801;P0802;P0803;P0901;P0902;P0903;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p2301;p2302;p2303;p2401;p2402;p2403;p2501;p2502;p2503;p2504;p2505;p2506;p26A01;p26A02;p26A03;p26A04;p26A05;p26A06;p26B01;p26B02;p26B03;p26B04;p26B05;p26B06;p27;p28;p29;p3001;p3002;p3003;p3004;p3005;p3101;p3102;p3103;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;wt
1;813;1;1;3;59;2;79;5;3;3;3;3;26;10;1;10;99;99;5;3;2;4;4;3;1;4;1;4;14;5;15;1;6;7;3;10;10;0;0;0;0;0;0;2;1;1;1;1;1;0;12;12;12;12;12;4;4;5;0;0;0;0;0;99;99;99;11;11;5;4;5;2;3;2;5;4;2;4;1;,443896196814171
2;606;1;1;3;999;2;71;5;2;3;2;2;8;99;99;8;99;99;1;3;3;1;1;2;3;4;1;1;1;2;9;5;7;2;6;10;10;10;0;6;7;8;10;2;1;1;1;1;1;8;12;12;12;12;12;2;2;3;6;7;11;8;6;99;99;99;5;0;3;3;5;2;3;1;1;4;2;4;1;1,44819840136382
3;46;1;1;3;2;2;61;2;3;4;3;4;1;2;6;6;2;6;3;3;3;2;1;1;3;3;3;4;14;5;9;7;10;10;4;10;10;5;5;4;2;0;0;2;1;1;1;1;1;6;12;12;12;12;12;2;2;2;6;3;5;5;6;8;99;99;0;0;3;2;4;3;3;2;1;4;2;4;1;1,44819840136382
4;379;1;1;3;59;2;68;5;4;4;3;4;5;7;1;8;7;99;5;2;2;3;3;1;3;1;1;1;12;5;3;7;5;10;3;1;10;2;5;5;0;0;0;2;1;1;1;1;1;3;12;12;12;12;12;2;3;3;0;0;4;0;5;99;99;99;5;4;4;3;5;2;3;2;5;4;2;4;1;,443896196814171
5;813;1;1;3;59;2;24;1;2;3;1;3;8;16;9;9;1;99;1;2;3;3;1;2;3;3;1;1;12;5;15;7;6;10;4;3;10;5;6;6;5;0;0;1;1;1;1;1;1;12;12;12;12;12;12;2;2;2;7;5;5;6;7;99;99;99;2;5;3;2;1;5;1;7;5;4;2;4;1;,416305338826238
6;46;1;1;3;59;2;45;1;3;4;3;3;10;13;8;6;16;8;2;2;3;3;3;2;1;2;1;1;6;1;6;2;5;7;1;10;10;5;0;4;0;6;0;2;2;2;2;1;1;6;0;5;7;12;12;3;3;3;5;4;4;2;4;8;9;99;6;2;3;3;3;5;1;2;1;4;2;4;1;,662645626786283
7;606;1;1;3;59;1;66;1;2;4;2;2;1;8;2;99;99;99;2;2;3;2;1;2;3;2;1;1;12;5;4;7;6;10;5;4;3;5;6;7;8;0;0;2;2;2;2;1;2;5;6;6;0;12;11;3;4;3;6;6;7;0;4;99;99;99;2;5;3;2;4;4;2;7;3;4;1;4;1;,432400662628849
8;379;1;1;3;36;2;53;1;2;3;2;2;19;18;18;23;2;6;2;2;2;2;2;2;3;2;1;1;8;3;5;7;6;1;5;4;3;3;6;5;8;1;0;2;2;2;2;1;2;5;5;5;1;12;1;3;4;3;7;3;6;1;3;12;6;99;3;5;2;2;3;3;2;6;2;4;2;4;1;,699871971356943
9;813;1;1;3;59;1;27;1;2;3;2;3;1;2;8;1;99;99;2;2;3;1;1;2;2;2;1;1;2;2;2;7;6;1;5;4;10;5;9;5;6;1;0;2;2;2;1;2;1;5;8;6;12;5;12;3;2;2;6;5;8;4;5;99;99;99;4;5;2;2;3;4;1;6;1;4;1;4;1;,564257244681269
10;606;1;1;3;59;2;55;1;2;3;2;2;11;1;4;10;98;8;1;2;3;2;1;2;1;2;1;1;12;5;5;7;6;10;4;5;10;5;4;4;6;0;0;2;2;2;2;1;1;5;3;3;0;12;12;3;2;2;5;4;4;3;4;4;2;35;3;5;6;4;3;5;2;1;1;4;2;4;1;,699871971356943
11;46;1;1;3;59;2;27;1;4;4;3;4;20;5;8;8;7;9;1;2;3;1;2;3;1;3;1;1;1;3;1;2;5;10;6;7;10;7;0;4;2;6;6;2;2;2;1;1;2;6;0;5;12;12;6;3;3;3;5;4;2;0;0;2;99;99;7;4;4;3;1;3;2;6;1;4;2;4;1;,236685031688911
12;569;1;1;3;999;2;63;5;2;3;3;4;7;5;99;7;99;99;2;2;3;3;2;2;3;4;2;2;12;5;1;7;5;10;1;2;10;9;5;2;0;0;0;2;2;2;2;1;1;11;5;4;6;12;12;2;2;2;6;5;7;4;5;5;99;99;5;5;1;1;5;2;3;1;1;4;2;4;1;,462218666502548
13;445;1;2;3;36;2;71;5;2;3;2;5;8;2;99;99;99;99;2;2;3;3;2;2;4;2;1;1;13;5;15;7;6;4;1;3;10;6;3;6;4;3;0;2;2;2;1;2;1;11;11;11;12;11;12;2;2;2;7;7;7;5;7;99;99;99;6;3;4;3;4;3;1;2;5;4;2;2;4;,443896196814171
14;138;1;1;3;59;2;70;5;2;2;2;3;2;6;99;99;99;99;2;2;3;3;2;3;4;4;1;6;9;5;15;7;2;10;10;10;10;6;3;6;3;5;1;2;1;1;2;1;1;6;12;12;6;12;12;3;2;2;6;7;7;7;7;99;99;99;11;11;6;3;4;2;2;2;5;4;2;4;1;,443896196814171
15;813;1;1;3;59;2;20;4;2;3;2;4;1;7;2;7;10;9;5;2;3;1;3;2;1;3;3;3;14;5;9;5;4;2;10;10;10;7;1;6;3;6;4;1;1;1;1;1;1;12;12;12;12;12;12;3;1;2;7;6;8;8;7;99;99;99;6;6;3;2;2;4;1;2;1;4;2;4;1;,741568675952071
16;849;1;1;3;59;1;80;5;2;4;2;4;1;2;7;7;6;1;2;1;3;3;2;2;2;3;1;1;13;5;6;2;10;10;6;10;10;7;0;5;0;6;0;1;1;1;1;1;1;12;12;12;12;12;12;3;2;2;5;5;6;5;5;5;99;99;5;5;3;3;5;2;3;1;1;4;1;4;1;,954757018664659
17;606;1;1;3;59;2;59;3;3;4;2;3;2;1;7;2;1;7;2;2;3;3;2;2;2;3;1;3;14;5;2;7;6;10;2;10;10;5;10;3;0;0;0;2;1;1;1;1;1;5;12;12;12;12;12;3;3;3;2;1;5;1;3;98;99;99;1;8;3;2;4;2;2;6;1;4;2;4;1;,812996483964685
18;250;1;1;2;59;1;58;1;2;4;2;2;1;11;28;99;99;99;2;2;3;1;2;2;3;1;1;1;4;2;15;6;7;10;8;8;8;5;8;5;7;0;0;2;2;2;2;2;2;6;7;4;1;7;0;3;4;2;8;6;7;5;6;6;98;98;2;5;1;4;2;4;3;6;1;4;1;4;1;,416305338826238
19;338;1;1;3;59;1;85;5;2;3;2;2;2;99;99;9;99;99;2;2;3;3;1;2;2;3;1;1;1;1;1;7;10;10;8;8;8;8;5;4;4;5;2;2;1;2;2;1;1;6;12;5;6;12;12;3;2;2;6;6;6;6;6;99;99;99;5;6;2;2;3;2;2;1;1;4;1;4;1;,320801179765382
20;606;1;1;3;59;2;18;4;2;4;1;2;99;99;99;98;2;98;2;2;3;1;2;2;3;3;4;2;12;5;13;6;7;10;3;5;10;6;11;7;8;3;0;2;1;1;1;1;1;7;12;12;12;12;12;2;1;2;8;8;9;8;7;99;99;99;4;11;3;3;2;2;2;8;1;4;1;4;1;,741568675952071
21;849;1;1;3;59;1;67;5;4;4;2;2;16;1;99;7;1;99;2;2;3;2;2;2;2;3;2;1;6;2;14;2;7;10;1;10;10;5;0;3;4;8;0;2;1;1;1;1;1;4;12;12;12;12;12;3;2;3;5;4;5;0;4;8;16;1;5;0;3;1;4;5;2;8;5;4;1;4;2;1,44819840136382
22;445;1;1;3;59;1;52;1;2;4;3;3;1;8;6;8;98;6;2;2;2;3;1;3;3;2;1;1;2;2;2;6;7;10;5;4;1;4;7;4;5;2;0;2;2;2;2;2;2;4;6;3;2;5;0;3;3;3;5;4;5;2;3;98;8;13;3;6;1;1;2;4;2;7;1;4;1;4;1;,416305338826238
23;569;1;2;3;59;1;46;1;4;4;4;4;5;6;26;5;6;8;1;2;2;3;4;3;3;4;1;1;13;5;15;8;8;8;8;8;8;0;0;0;0;0;0;2;1;1;1;1;1;1;12;12;12;12;12;5;2;1;10;1;10;2;3;98;35;99;11;11;3;3;2;4;3;8;1;4;1;3;4;,227302774690018
24;138;1;1;3;59;2;34;1;2;3;2;2;13;8;1;13;8;99;1;1;3;1;2;2;2;4;1;1;2;1;2;6;7;1;4;10;10;0;10;5;5;0;0;2;2;1;2;1;1;6;8;12;0;12;12;5;3;4;0;0;0;0;0;9;98;99;2;8;2;2;1;5;2;6;1;4;2;4;1;,416305338826238
25;606;1;1;3;999;2;50;3;3;4;3;3;7;1;2;8;2;99;2;2;3;1;3;3;2;3;1;2;13;5;15;8;8;8;8;8;8;0;0;0;11;0;11;2;1;1;2;1;1;0;12;12;0;12;12;5;3;4;0;0;0;0;0;99;99;99;5;9;3;2;3;4;3;1;2;4;2;4;1;,308084536500576
26;46;1;1;3;59;1;63;1;2;4;2;3;2;1;99;34;99;99;1;2;3;3;3;2;1;4;1;1;10;5;10;2;7;10;9;9;9;5;0;5;2;4;0;2;2;2;2;1;1;3;3;3;3;12;12;2;2;1;6;5;7;6;3;98;6;99;5;2;3;3;3;3;2;2;3;4;1;4;1;,355748875805925
27;338;1;1;3;59;2;58;1;2;3;2;3;99;99;99;99;99;99;2;3;2;2;2;2;3;3;1;2;12;5;15;7;10;10;10;10;10;7;11;5;11;5;0;2;1;1;1;1;1;5;12;12;12;12;12;3;3;5;5;5;5;5;11;99;99;99;5;11;3;2;3;2;3;2;1;4;2;4;1;,320801179765382
28;849;1;1;3;59;2;55;6;3;3;2;3;7;1;8;7;8;99;2;3;3;2;4;2;3;3;1;1;12;5;1;7;2;10;1;6;10;7;3;5;5;6;0;2;1;1;2;1;1;6;12;12;6;12;12;4;3;3;5;7;8;5;4;99;99;99;5;6;3;3;4;3;2;7;1;4;2;4;1;,462218666502548
29;445;1;1;3;59;1;22;1;2;2;2;2;99;99;99;2;9;99;1;1;3;1;2;2;2;4;6;7;14;5;15;10;10;10;10;10;10;11;11;11;11;11;11;2;2;1;2;1;2;11;11;12;11;12;11;2;2;2;6;11;8;5;5;4;99;99;11;11;3;4;2;4;4;6;1;4;1;4;1;,741568675952071
30;569;1;2;3;59;2;64;5;3;4;3;3;8;1;2;8;99;99;2;2;3;4;3;3;3;2;2;2;3;4;3;7;2;10;5;10;10;4;2;4;5;2;0;2;2;1;2;1;1;5;4;12;3;12;12;3;3;3;3;3;4;4;3;4;99;99;4;0;3;3;3;4;2;2;5;4;2;2;4;,308084536500576
31;145;1;1;3;999;1;67;5;2;4;2;3;6;2;99;34;99;99;1;3;2;2;1;4;3;3;1;1;1;1;1;4;3;5;8;8;8;9;10;8;0;0;0;2;1;1;1;1;1;9;12;12;12;12;12;1;4;3;10;0;8;7;6;99;99;99;5;7;4;3;5;2;3;1;5;4;1;4;1;,462218666502548
32;46;1;1;3;2;1;63;1;2;4;2;2;6;7;1;6;99;99;2;2;2;1;1;2;1;4;2;3;14;5;9;8;8;8;8;8;8;1;0;0;0;0;1;2;2;2;2;1;1;1;1;1;1;12;12;3;3;2;5;5;5;3;3;8;13;2;11;5;2;3;3;5;2;2;1;4;1;4;1;1,00511681885805
33;606;1;1;3;59;1;66;5;2;4;2;2;1;6;2;10;99;99;2;1;3;1;2;2;3;2;1;1;5;1;4;7;6;2;4;3;10;3;5;5;9;0;0;2;2;2;2;1;1;7;6;7;2;12;12;2;3;3;3;4;6;2;0;6;9;13;0;4;3;3;4;3;3;7;5;4;1;4;1;,432400662628849
34;46;1;1;3;59;1;30;1;2;3;2;2;19;25;99;1;99;99;1;2;3;2;2;3;2;3;1;1;2;2;2;7;6;10;3;10;10;4;9;4;5;1;0;2;1;2;1;2;2;5;12;5;12;5;5;4;3;3;4;4;4;2;4;99;99;99;3;8;2;2;1;3;2;6;1;4;1;4;1;,416305338826238
35;138;1;2;3;59;2;56;1;2;2;2;2;8;10;9;2;10;2;3;2;3;3;1;2;3;3;1;1;1;2;1;6;7;10;2;5;10;7;6;5;5;1;0;1;2;1;1;1;1;12;5;12;12;12;12;2;2;2;6;6;8;3;5;8;99;99;5;7;3;3;4;5;3;7;1;4;2;2;4;,462218666502548
36;569;1;1;3;2;2;54;2;2;3;3;3;2;1;7;2;6;7;3;3;3;2;2;2;2;3;1;1;12;5;1;7;6;2;1;3;10;6;1;5;4;1;0;2;2;1;2;1;1;6;5;12;5;12;12;2;2;2;8;8;8;6;6;4;2;6;5;5;3;3;2;4;3;2;2;4;2;4;1;,236685031688911
37;145;1;1;3;59;1;28;1;2;3;2;2;7;1;9;7;1;9;2;2;3;1;2;1;3;1;1;1;1;1;1;8;8;8;8;8;8;10;3;3;2;3;0;2;2;2;2;2;2;10;3;3;3;3;3;1;1;1;9;9;8;9;9;6;7;6;5;10;1;1;1;3;3;2;1;4;1;4;1;,236685031688911
38;813;1;1;3;59;2;82;5;4;4;5;3;99;99;99;99;99;99;1;2;3;2;3;3;1;3;1;4;14;5;14;8;8;8;8;8;8;0;0;0;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;3;3;4;4;2;0;0;2;16;99;99;5;0;5;3;4;3;2;1;1;4;2;4;1;,443896196814171
39;606;1;1;3;59;2;49;1;2;3;2;3;8;1;99;8;13;99;2;2;3;2;2;2;3;3;2;2;1;3;15;7;10;10;5;10;10;8;6;6;7;6;0;2;2;2;2;1;1;6;5;6;6;12;12;2;2;2;6;6;6;5;6;16;8;99;3;5;3;2;2;5;2;8;1;4;2;4;1;,236685031688911
40;445;1;1;3;59;1;61;5;2;4;2;3;1;2;2;8;99;99;2;2;3;3;2;2;3;1;1;1;1;2;1;7;4;5;3;10;10;8;3;6;1;1;0;2;2;2;2;1;2;9;3;5;1;12;0;2;2;1;8;8;7;5;7;8;2;6;6;6;2;3;3;3;2;6;1;4;1;4;1;,320801179765382
41;338;1;2;3;59;2;59;5;4;4;3;3;10;10;26;8;99;99;1;2;1;5;4;4;2;3;2;6;12;5;6;3;7;10;6;10;10;5;0;5;0;5;0;1;1;1;1;1;1;12;12;12;12;12;12;5;3;4;0;0;0;0;0;99;99;99;5;0;1;2;4;2;2;6;1;4;2;2;4;,954757018664659
42;569;1;1;3;59;2;59;1;2;3;2;2;1;7;2;7;99;99;2;2;3;2;3;2;3;3;1;1;11;5;3;7;6;2;1;3;10;7;3;7;6;3;0;2;1;2;2;1;1;7;12;5;4;12;12;3;2;3;7;8;8;6;6;99;99;99;3;0;2;3;4;4;2;6;1;4;2;4;1;,443896196814171
43;250;1;1;2;59;2;60;1;2;4;2;2;2;1;99;8;26;2;2;2;3;2;2;2;3;2;2;1;2;2;2;6;7;10;1;4;10;7;8;6;11;0;0;2;2;2;2;1;1;7;7;6;0;12;12;2;2;2;7;7;7;3;6;13;4;99;3;8;2;1;1;5;2;7;3;4;2;4;1;,416305338826238
44;813;1;1;3;59;2;64;2;2;4;2;3;2;5;99;6;8;99;4;3;3;2;2;2;3;4;3;4;14;5;9;8;8;8;8;8;8;0;0;0;0;0;0;2;1;1;1;1;1;11;12;12;12;12;12;6;4;4;1;1;1;1;1;16;99;99;11;0;4;3;4;4;3;1;1;4;2;4;1;1,44819840136382
45;138;1;1;3;59;1;62;1;3;4;3;3;7;1;4;8;10;99;1;2;3;2;3;3;1;1;1;6;7;2;6;4;2;5;6;10;10;4;0;1;1;6;7;2;2;2;2;2;1;5;0;1;6;1;12;3;3;3;4;4;4;0;4;98;98;5;7;0;3;3;4;5;1;6;1;4;1;4;1;,954757018664659
46;145;1;1;3;59;2;67;5;2;3;2;3;1;8;16;99;99;99;5;2;3;2;2;2;3;3;1;1;2;3;5;6;7;4;3;5;10;6;8;7;8;0;0;2;1;2;2;1;1;8;12;7;4;12;12;2;1;2;7;6;6;7;6;99;99;99;2;1;3;3;4;4;2;2;5;4;2;4;1;1,00839370216688
47;606;1;1;3;59;1;77;5;2;4;3;3;1;2;99;99;99;99;2;2;3;2;1;2;4;3;1;1;13;5;2;7;6;10;1;3;2;8;9;8;5;0;0;2;2;2;2;1;1;7;7;7;0;12;12;2;2;3;5;7;7;4;6;8;1;99;1;10;2;2;6;2;2;6;1;4;1;4;1;,812996483964685
48;445;1;2;3;59;1;83;5;2;4;2;2;1;4;99;99;99;99;2;2;2;2;2;2;4;4;2;1;1;2;1;7;2;10;3;6;10;9;0;7;5;7;0;2;1;1;2;1;1;8;12;12;5;12;12;2;1;5;11;8;9;5;7;99;99;99;5;5;3;2;5;2;1;2;5;4;1;2;4;,462218666502548
49;849;1;2;3;59;2;34;1;2;2;2;2;1;99;99;1;99;99;1;2;3;2;1;2;3;2;1;1;5;3;2;7;6;10;4;2;3;4;6;4;7;0;0;2;2;2;2;2;2;6;4;6;3;5;0;2;2;2;8;8;8;7;6;8;4;6;3;7;3;2;1;4;2;7;1;4;2;2;4;,416305338826238
50;569;1;1;3;59;1;39;1;2;2;1;2;8;6;99;23;99;99;1;1;3;2;1;2;3;1;1;1;5;2;3;7;6;10;1;2;4;6;7;7;9;0;0;2;2;1;1;1;1;11;7;12;12;12;12;2;2;2;6;8;7;5;2;98;9;8;2;6;4;2;1;5;1;7;5;4;1;4;1;,227302774690018
51;338;1;2;3;59;1;58;1;2;4;3;3;7;2;99;5;7;2;4;3;3;3;2;3;1;1;1;1;1;1;1;7;6;4;3;5;10;8;0;8;5;0;0;2;2;1;2;1;1;8;6;12;0;12;12;2;2;1;7;9;9;8;6;8;2;98;5;5;2;2;5;4;2;6;3;4;1;2;4;,462218666502548
52;46;1;1;3;59;2;63;5;2;3;2;2;1;2;99;6;99;99;2;2;3;1;2;2;3;1;1;1;13;5;15;7;6;10;9;9;9;6;6;6;6;2;0;2;2;2;2;1;1;5;5;6;2;12;12;3;1;2;6;6;7;4;6;35;99;99;3;7;3;3;1;3;2;2;3;4;2;4;1;,416305338826238
53;445;1;2;3;59;2;51;1;4;4;3;4;5;8;13;5;7;8;2;2;3;3;4;4;1;2;1;1;6;1;6;2;3;4;1;10;10;0;0;0;0;5;0;2;2;2;2;1;2;0;0;11;11;12;11;5;3;1;0;0;0;0;0;98;5;98;7;0;3;3;1;5;2;7;1;4;2;2;4;,488895649601831
54;813;1;1;3;59;1;60;1;3;4;2;3;8;2;1;98;8;98;2;2;3;3;3;2;2;4;1;2;13;5;15;7;10;10;10;10;10;8;6;5;3;3;0;2;2;1;2;1;1;11;11;12;11;12;12;3;4;3;7;5;6;5;5;98;99;99;3;7;3;2;5;4;1;2;5;4;1;4;1;,462218666502548
55;606;1;1;3;59;1;81;5;2;4;2;2;99;99;99;98;22;99;2;2;3;2;1;2;1;3;1;1;1;1;1;4;5;2;6;10;10;8;0;4;0;6;3;2;1;2;2;1;1;8;12;5;5;12;12;2;2;2;7;9;9;8;6;99;99;99;6;8;3;3;2;2;2;7;5;4;1;4;1;,236685031688911
56;145;1;2;3;59;2;49;1;2;3;2;2;25;11;99;31;31;99;1;2;3;2;2;2;3;2;2;1;12;5;15;6;7;2;10;10;10;5;2;5;5;3;0;2;2;2;2;1;1;6;4;4;4;12;12;2;4;2;6;4;7;3;3;8;13;99;5;3;3;2;2;5;2;7;1;4;2;2;4;,741568675952071
57;569;1;1;3;59;1;24;2;2;3;1;2;6;6;8;99;99;99;3;3;3;1;2;2;2;3;1;1;3;2;3;6;7;10;5;4;10;6;6;6;8;2;0;2;1;1;1;1;1;4;12;12;12;12;12;3;3;2;5;0;2;4;2;98;35;35;6;3;3;3;2;2;2;5;7;1;1;4;1;,227302774690018
58;445;1;2;3;59;1;68;5;2;3;2;2;2;11;4;9;99;99;2;2;3;4;1;2;3;2;1;1;2;2;2;7;6;10;4;5;10;6;7;5;6;3;0;2;2;2;2;1;2;7;8;5;4;12;0;2;2;2;7;7;7;5;7;8;6;98;3;8;1;2;2;3;2;7;1;4;1;2;4;,416305338826238
59;138;1;2;3;999;1;36;1;3;4;3;4;5;2;99;6;7;99;2;2;3;3;2;3;2;3;1;2;1;2;1;7;2;4;6;10;10;6;0;0;2;4;0;2;2;1;2;1;1;5;5;12;5;12;12;3;1;3;7;4;7;2;3;99;99;99;5;1;3;3;5;4;2;6;5;4;1;2;4;,462218666502548
60;145;1;2;3;999;1;60;1;2;3;2;2;4;15;8;32;6;4;1;3;2;2;2;2;3;3;1;2;5;1;5;6;7;1;2;4;3;5;3;7;10;0;0;2;2;2;2;2;2;5;0;4;3;7;8;3;3;2;0;5;0;0;0;6;98;99;0;7;3;2;3;5;3;6;2;4;1;2;4;,699871971356943
61;606;1;1;3;59;2;51;1;3;4;2;2;99;99;99;99;99;99;3;2;3;2;2;3;3;3;2;2;12;5;14;7;2;10;5;1;3;1;0;1;1;1;0;2;1;1;2;1;1;1;12;12;1;12;12;3;3;4;2;1;2;1;1;99;99;99;5;11;6;3;3;3;2;6;1;4;2;4;1;1,00511681885805
62;463;1;1;3;59;1;35;6;2;4;2;4;5;99;99;5;99;99;1;1;3;1;1;1;1;4;2;6;12;5;14;1;10;10;7;10;10;2;0;5;0;5;8;1;1;1;1;1;2;12;12;12;12;12;11;2;2;3;5;7;7;5;5;99;99;99;10;10;5;1;5;2;3;7;7;1;1;4;1;1,44819840136382
63;820;1;1;3;999;2;42;1;3;4;2;3;8;13;10;31;13;10;2;2;3;2;1;3;1;3;2;6;12;5;9;6;7;3;1;10;10;4;3;0;0;0;0;1;1;1;2;1;1;12;12;12;3;12;12;3;3;2;4;3;4;3;4;99;99;99;5;6;3;2;4;2;2;6;1;4;2;4;1;1,44819840136382
64;353;1;1;3;999;1;66;5;2;4;2;2;15;5;99;15;9;99;2;3;3;4;1;1;3;2;1;1;2;1;2;7;6;3;8;8;8;0;10;0;0;0;0;2;2;2;1;1;1;0;7;0;12;12;12;4;3;3;5;4;4;0;0;99;99;99;2;10;1;1;1;4;2;6;1;4;1;4;1;,416305338826238
65;937;1;2;3;59;2;38;1;3;3;2;2;10;16;99;16;99;99;2;2;2;4;4;2;1;3;2;2;12;5;9;2;10;10;5;10;10;7;0;3;5;5;5;1;1;1;1;1;1;12;12;12;12;12;12;6;2;2;6;5;6;5;5;99;99;99;5;0;4;3;5;2;3;2;1;4;2;2;4;1,44819840136382
66;717;1;1;3;59;1;44;1;2;3;2;3;7;17;99;7;5;99;2;2;3;3;2;1;1;3;1;1;13;5;15;6;7;10;10;10;10;3;3;3;3;0;0;2;1;1;2;1;1;3;12;12;0;12;12;2;2;3;4;3;5;5;3;99;99;99;5;3;3;3;3;4;2;2;1;4;1;4;1;,308084536500576
67;50;1;2;3;59;1;50;1;4;4;3;3;1;2;4;1;2;4;3;3;2;3;4;3;3;3;1;1;12;5;15;9;9;9;9;9;9;11;11;11;11;11;11;2;2;2;2;2;2;11;11;11;11;11;11;5;3;2;0;0;0;0;0;35;35;99;11;11;6;3;1;3;4;7;8;4;1;1;4;,227302774690018
68;507;1;1;3;59;2;68;5;2;2;2;2;10;99;99;99;99;99;1;1;3;3;1;5;3;4;1;1;3;3;1;7;10;10;1;10;10;7;0;5;5;5;5;1;1;1;1;1;1;12;12;12;12;12;12;1;2;4;7;6;8;7;7;99;99;99;5;7;1;1;4;2;2;1;4;4;2;4;1;,462218666502548
69;281;1;2;3;59;1;76;5;2;4;2;3;99;99;99;34;99;99;1;3;3;2;1;2;3;4;1;1;13;5;1;3;10;10;1;6;7;7;11;0;0;6;5;2;2;1;2;1;1;7;6;12;8;12;12;6;2;2;7;6;8;6;6;99;99;99;10;8;3;2;4;2;1;2;5;4;1;2;4;,462218666502548
70;319;1;2;3;59;1;57;1;2;4;2;4;2;2;5;99;99;99;2;2;3;4;2;2;1;4;1;1;1;3;1;2;7;4;3;10;10;8;0;5;2;6;2;2;2;2;2;2;2;7;4;6;6;4;3;4;2;3;5;8;4;5;6;1;8;7;4;6;3;3;5;3;2;6;1;4;1;1;4;,462218666502548
71;608;1;2;3;59;2;60;3;3;4;2;3;1;2;14;10;99;99;3;3;2;3;2;1;3;4;2;1;12;5;9;6;3;10;7;10;10;0;5;0;11;0;5;1;1;1;1;1;1;12;12;12;12;12;12;3;3;3;3;2;3;0;0;99;99;99;0;0;3;2;5;2;3;2;3;4;2;2;4;1,44819840136382
72;353;1;2;3;36;1;56;1;2;3;2;2;4;8;13;6;4;10;1;2;3;2;2;4;1;4;1;4;14;5;1;7;6;4;1;10;10;5;4;3;0;0;0;2;1;2;1;1;1;6;12;6;12;12;12;4;2;3;8;8;8;4;5;99;99;99;5;7;2;3;5;2;2;6;1;4;1;1;4;,462218666502548
73;937;1;1;3;59;2;65;3;2;4;1;3;1;8;98;8;18;4;1;2;3;2;2;2;3;2;1;1;3;2;3;7;6;10;5;10;10;5;5;9;7;0;0;2;1;2;2;1;2;5;12;7;6;12;5;3;2;3;6;6;7;3;2;99;99;99;2;1;3;3;4;5;3;2;5;4;2;4;1;,443896196814171
74;281;1;2;3;59;2;29;2;2;3;2;3;99;99;99;16;2;7;4;2;2;2;3;3;2;2;1;1;1;1;3;7;6;4;3;5;10;8;5;8;5;0;0;2;2;2;2;1;1;8;11;8;0;12;12;2;2;2;7;7;8;7;7;99;99;99;5;0;3;3;4;3;3;6;1;4;2;2;4;,443896196814171
75;19;1;2;3;59;2;66;5;4;3;2;2;4;1;7;10;9;15;1;2;3;3;2;3;3;1;1;2;2;1;2;7;6;10;1;3;10;5;10;4;5;0;0;2;1;1;1;2;1;5;12;12;12;0;12;4;3;1;3;3;5;3;0;9;99;99;0;0;2;3;4;2;3;2;5;4;2;2;4;,812996483964685
76;507;1;2;3;59;1;72;5;2;3;2;3;7;1;16;6;99;99;2;2;3;2;2;2;3;2;1;1;12;5;1;7;10;10;2;10;10;8;7;6;6;1;0;2;2;2;2;1;2;6;6;6;4;12;4;2;2;2;8;9;7;7;8;99;99;99;5;7;2;2;3;4;2;2;1;4;1;1;4;,320801179765382
77;463;1;2;3;59;2;51;6;2;3;2;3;16;8;1;31;6;8;3;3;3;4;2;2;3;4;2;2;2;2;2;7;10;10;1;10;10;7;9;2;5;3;0;1;1;2;1;1;2;12;12;8;12;12;6;2;2;1;6;6;6;5;6;99;99;99;5;6;2;2;1;2;3;6;5;4;2;2;4;,416305338826238
78;847;1;2;3;36;2;37;1;2;4;2;3;1;2;8;1;8;2;1;1;2;2;2;4;2;1;1;1;2;1;2;5;6;7;1;4;10;6;8;4;0;0;0;2;2;2;2;2;1;5;10;4;0;5;12;3;3;3;7;0;0;5;0;8;13;99;5;8;1;1;2;4;3;6;2;4;2;2;4;,416305338826238
79;50;1;2;3;59;1;53;5;2;3;1;1;8;1;9;1;9;99;1;2;2;4;1;2;3;2;2;1;1;1;1;7;6;10;3;2;10;9;7;7;5;2;0;2;2;2;2;1;2;8;7;6;3;12;6;2;2;1;7;7;6;4;7;98;98;99;3;5;3;3;4;4;3;2;7;1;1;2;4;,462218666502548
80;717;1;2;3;2;2;35;1;3;4;3;4;4;2;2;4;19;1;2;2;2;2;2;2;2;3;1;1;6;2;1;2;4;10;7;1;10;6;0;2;2;8;8;2;1;1;2;1;1;5;12;12;6;12;12;3;3;1;5;2;6;2;2;99;99;99;7;5;3;3;2;5;3;2;1;4;2;2;4;,236685031688911
81;319;1;2;3;59;1;68;5;3;4;2;3;1;5;2;14;99;99;3;2;3;1;2;3;2;1;1;1;6;1;6;8;8;8;8;8;8;3;0;2;0;10;4;2;2;2;2;1;1;5;0;2;10;12;12;3;3;3;4;6;2;0;2;98;99;99;6;0;3;3;4;3;2;4;1;4;1;1;4;,954757018664659
