elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P04;P05;P06;P07;P0801;P0802;P0803;P0901;P0902;P0903;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p2301;p2302;p2303;p2401;p2402;p2403;p2501;p2502;p2503;p2504;p2505;p2506;p26A01;p26A02;p26A03;p26A04;p26A05;p26A06;p26B01;p26B02;p26B03;p26B04;p26B05;p26B06;p27;p28;p29;p3001;p3002;p3003;p3004;p3005;p3101;p3102;p3103;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;wt
976;379;2;1;3;44;1;75;5;2;4;2;2;4;10;99;7;4;18;5;2;3;3;3;2;1;1;1;1;13;5;15;7;6;10;9;9;9;6;7;7;6;0;0;2;2;2;2;1;2;6;6;6;3;12;0;3;2;2;6;6;6;4;5;25;99;99;4;6;2;2;3;5;1;2;2;4;1;4;1;,51556025615562
977;138;2;1;3;13;2;59;4;5;3;2;3;2;5;7;6;6;28;2;2;3;1;1;2;2;3;1;1;12;5;15;10;10;10;9;9;9;5;5;5;4;4;11;2;1;1;1;1;1;6;12;12;12;12;12;2;2;1;5;5;5;5;5;99;99;99;11;11;3;3;3;5;2;1;2;4;2;4;1;,543280918963283
978;145;2;1;3;20;1;79;5;1;3;2;2;99;99;99;99;99;99;1;1;3;2;2;1;2;4;1;1;1;1;1;2;6;5;3;10;10;10;2;6;6;4;0;2;2;2;2;1;1;10;6;7;4;12;12;2;2;1;9;9;8;8;9;99;99;99;5;9;3;3;4;2;2;1;2;4;1;4;1;1,02212682455538
979;250;2;2;2;20;1;53;1;2;1;2;3;16;2;28;98;15;99;2;2;3;3;2;2;2;2;1;1;1;3;15;6;3;7;2;5;10;7;7;3;5;1;0;2;2;2;2;2;2;6;7;4;1;5;0;2;2;1;9;8;10;6;7;5;6;98;5;10;1;2;1;3;2;2;2;4;1;1;4;,944762393591992
980;606;2;2;3;20;2;25;1;2;2;2;2;14;1;99;1;2;6;4;3;3;1;1;2;2;2;1;2;5;3;5;7;6;10;2;4;3;5;6;5;7;2;0;2;1;1;1;1;1;5;12;12;12;12;12;3;3;2;6;5;6;4;4;99;99;99;3;3;3;3;2;5;2;7;5;4;2;1;4;1,45310027668235
981;445;2;2;3;20;1;53;1;2;4;2;3;8;1;2;8;1;6;2;2;2;4;2;2;3;3;1;1;3;3;1;7;6;10;1;5;4;6;7;8;6;3;0;2;2;1;1;1;1;7;7;12;12;12;12;3;2;3;8;5;8;3;5;9;1;2;3;6;3;2;4;2;3;2;2;4;1;2;4;1,02212682455538
982;336;2;1;3;44;2;55;1;3;4;2;3;4;1;25;16;1;25;2;1;3;1;2;2;1;1;1;1;13;5;15;2;7;10;3;1;6;3;0;6;1;6;0;2;2;1;2;1;1;5;5;12;5;12;12;3;4;5;6;5;5;4;4;99;99;99;5;0;3;3;4;4;1;2;5;4;4;4;1;,969973266311079
983;544;2;2;3;16;1;50;1;2;3;2;3;1;13;2;23;6;99;2;2;2;2;2;2;3;2;1;1;2;2;2;7;6;10;5;4;10;5;8;5;6;1;0;2;2;2;1;2;1;4;5;3;12;5;12;3;3;3;6;5;6;3;4;12;8;13;3;8;2;2;1;4;2;7;2;4;1;1;4;,944762393591992
984;813;2;1;3;999;2;72;5;3;4;2;3;4;4;16;2;6;6;5;4;2;3;4;3;4;2;1;1;6;2;6;3;5;2;7;4;10;2;0;0;2;8;5;2;2;2;1;2;2;6;3;4;12;4;1;3;3;3;4;2;3;2;0;4;99;99;10;0;5;3;3;4;3;1;2;4;2;4;1;,852115048818475
985;338;2;2;3;999;1;48;1;3;4;3;4;1;30;2;1;2;30;1;3;2;1;1;3;3;1;2;4;14;5;9;6;7;3;2;4;10;0;8;0;5;0;0;2;2;2;2;2;1;5;6;0;0;2;12;4;3;2;7;0;6;0;1;9;4;99;3;7;1;2;3;2;3;6;2;4;1;2;4;1,87607329914896
986;145;2;1;3;36;1;52;1;4;4;2;4;1;2;4;9;1;1;2;2;3;1;2;4;2;1;1;1;6;1;6;2;1;3;8;8;8;0;0;4;0;10;0;2;2;1;2;1;2;2;0;12;10;12;5;4;3;3;5;4;2;2;4;16;13;8;7;0;4;3;5;3;1;2;2;4;1;4;1;1,60316627844524
987;366;2;2;3;36;1;54;1;2;3;2;2;2;8;99;8;99;99;1;2;3;2;2;2;2;2;1;1;2;2;2;7;6;3;4;10;10;4;8;4;6;2;0;2;2;1;1;1;1;4;6;12;12;12;12;3;2;2;7;6;5;5;6;8;11;99;5;10;1;1;1;4;2;2;2;4;1;1;4;,944762393591992
988;250;2;2;2;85;2;55;1;2;3;2;3;1;6;26;99;99;99;2;2;2;2;2;3;3;2;1;1;12;5;14;7;6;10;1;2;4;6;5;4;5;0;0;2;2;2;2;1;2;5;5;5;0;12;0;3;3;2;6;6;11;5;4;99;99;99;4;7;1;2;2;5;2;2;2;4;2;1;4;,684568676480529
989;47;2;1;3;78;2;79;5;5;4;1;5;8;1;13;8;13;99;5;1;3;3;1;2;3;2;1;1;1;1;1;7;6;10;3;10;10;10;0;4;3;2;0;2;2;2;2;1;1;11;0;3;2;12;12;2;1;1;8;10;10;8;10;4;99;99;4;10;3;1;4;2;3;7;2;4;2;4;1;1,02212682455538
990;606;2;2;3;13;1;61;2;2;4;2;2;5;7;2;5;7;2;3;3;3;3;2;2;2;2;1;1;12;5;6;2;1;5;6;3;10;3;0;3;0;6;4;2;1;1;1;1;2;6;12;12;12;12;6;3;2;2;7;7;8;4;7;99;99;99;6;0;3;3;4;3;3;7;2;4;1;1;4;1,60316627844524
991;445;2;2;3;71;1;45;1;4;4;2;4;5;8;99;7;9;10;1;2;2;1;2;2;3;1;1;1;13;5;15;4;10;10;10;10;10;2;0;0;0;2;5;2;1;1;1;1;1;2;12;12;12;12;12;5;3;3;3;1;2;1;2;5;98;8;5;2;3;3;2;2;2;2;2;4;1;1;4;1,07371941626801
