elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P0401;P0402;P0403;P0404;P0405;P0406;P05;P0601;P0602;P0603;P0701;P0702;P0703;P08;P09;P10;P11;P1201;P1202;P1203;P1204;P1301;P1302;P1401;P1402;P1403;P1501;P1502;P16;P1701;P1702;P1703;P18;P19;P20;P21;P22;P2301;P2302;P2303;P2401;P2402;P2403;P2501;P2502;P2503;P2504;P2505;P2506;P26A01;P26A02;P26A03;P26A04;P26A05;P26A06;P26B01;P26B02;P26B03;P26B04;P26B05;P26B06;P27;P28;P29;P30;P31;P32;P33;P34;P35;wt;udatam
715;648;1;1;3;59;1;52;1;7;6;6;6;1;1;2;2;99;99;23;99;99;2;1;3;3;6;0;0;0;10;10;10;8;8;2;4;2;3;2;4;1;1;2;2;2;7;6;10;3;10;10;3;8;6;3;0;0;2;2;2;2;1;2;4;6;3;2;12;0;3;6;2;2;3;3;2;1;4;,410585830771016;3
716;71;1;2;3;59;1;26;1;9;9;7;7;6;5;6;1;99;99;1;9;99;2;2;2;1;3;2;1;1;8;8;6;6;7;1;1;3;2;2;3;1;1;12;5;1;7;4;10;1;6;10;9;1;3;1;6;1;2;1;2;2;1;1;7;12;5;5;12;12;7;3;2;3;1;5;1;1;4;,252399479425255;3
717;379;1;1;3;59;1;62;6;6;5;5;4;5;4;6;8;1;2;8;99;99;2;3;1;2;6;5;3;4;7;7;10;8;7;3;3;4;3;3;3;3;4;14;5;9;8;8;8;8;8;8;0;0;0;0;0;0;2;1;1;1;1;1;3;12;12;12;12;12;4;0;5;2;4;5;3;1;4;1,69586410136416;3
718;414;1;2;2;59;2;42;1;8;9;5;5;4;5;0;8;2;99;8;6;2;1;3;1;1;5;5;3;5;8;7;8;7;7;3;3;2;2;2;3;1;1;2;1;2;6;7;3;4;10;10;5;9;7;7;0;0;2;2;2;1;1;1;6;8;5;12;12;12;0;10;1;1;1;3;2;1;4;,393478332779262;3
719;281;1;1;3;59;2;84;5;9;9;7;6;7;7;6;8;7;9;8;7;9;2;2;2;1;5;5;0;0;8;8;10;10;10;3;3;1;1;1;2;1;1;1;2;1;7;4;2;3;10;10;6;0;6;4;0;0;2;2;2;2;1;1;6;0;5;0;12;12;7;7;3;2;5;5;1;2;4;,394361705720365;3
720;911;1;1;3;59;2;79;5;5;3;5;5;3;5;10;1;13;8;31;99;99;1;1;1;2;6;4;0;0;10;5;5;10;0;2;2;4;2;3;4;1;1;12;5;1;7;10;10;6;3;10;5;0;7;0;5;0;1;1;1;2;1;1;12;12;12;6;12;12;5;3;3;3;4;5;2;1;4;,394361705720365;3
721;406;1;2;3;999;2;49;3;8;8;7;7;3;2;7;5;6;8;99;99;99;2;2;2;2;6;6;6;3;8;10;8;10;8;2;3;3;3;3;3;2;3;14;5;1;2;5;4;1;6;3;7;0;5;0;4;4;2;2;1;1;1;1;5;5;12;12;12;12;6;2;3;3;3;5;1;1;4;,263373205873897;1
722;438;1;2;3;59;2;59;1;7;11;6;4;6;4;5;1;17;33;6;8;13;2;2;2;2;7;5;5;5;10;8;10;10;10;1;1;2;1;1;1;1;1;3;2;3;7;10;10;1;4;10;6;6;8;7;5;0;2;1;2;2;2;1;7;12;5;5;5;12;5;5;3;3;4;5;3;1;4;,445971136076519;3
723;16;1;2;3;999;2;55;1;8;8;5;5;4;4;6;8;4;99;6;31;99;2;2;2;2;5;0;0;0;10;10;8;6;5;3;4;4;3;3;4;1;1;12;5;9;7;2;6;1;10;10;5;0;5;3;0;0;1;1;1;1;1;1;12;12;12;12;12;12;5;0;3;3;4;2;3;1;4;1,69586410136416;1
724;390;1;2;3;59;2;28;1;8;7;7;6;5;4;2;1;2;31;1;23;99;2;2;1;1;5;0;0;5;10;10;7;7;6;2;3;3;2;2;2;1;2;12;5;10;6;10;10;2;10;10;3;8;7;2;3;4;2;1;1;1;1;1;11;12;12;12;12;12;5;6;6;2;4;5;2;7;1;,551225954638507;3
725;379;1;1;3;59;1;73;5;6;5;5;6;3;3;7;1;2;8;8;99;99;2;3;1;1;7;6;2;4;10;10;8;7;7;3;4;3;3;2;3;1;1;2;1;2;7;6;3;1;5;10;6;8;3;6;2;0;2;1;1;2;1;2;5;12;12;3;12;4;2;8;2;2;5;2;2;1;4;,614790437889106;3
726;463;1;2;3;59;2;48;1;9;9;5;5;5;5;2;1;6;7;8;1;6;4;2;2;2;5;3;3;2;8;8;9;9;9;1;1;2;2;4;4;2;1;12;5;10;4;2;7;1;6;10;5;0;5;0;5;3;2;2;2;2;1;2;5;0;0;5;12;11;6;4;3;3;1;5;1;3;4;,352795776005449;3
727;16;1;2;1;59;1;40;1;7;7;5;5;4;4;2;8;1;6;23;99;99;2;2;2;1;1;1;1;1;9;9;9;9;9;2;2;1;1;1;1;1;1;2;1;2;3;6;7;8;8;8;1;5;1;1;1;0;2;2;2;2;2;2;4;5;2;1;4;0;2;7;1;1;1;5;2;1;4;,393478332779262;3
728;648;1;2;3;59;1;60;1;9;9;6;6;5;4;6;1;8;2;8;99;99;3;3;1;1;9;4;4;2;10;8;10;10;10;2;2;2;1;1;2;1;1;12;5;1;7;6;2;1;10;10;8;2;5;6;3;0;2;2;2;2;2;2;7;5;5;4;4;0;4;8;2;4;3;5;1;2;4;,263373205873897;3
729;71;1;1;3;59;1;64;1;10;10;7;7;6;6;7;8;2;1;99;99;99;2;2;2;1;10;7;0;3;8;3;10;7;5;2;3;3;3;3;2;1;2;12;5;1;7;6;4;1;3;5;6;4;6;5;0;0;2;2;1;2;1;2;5;6;12;2;12;5;5;7;2;2;3;5;1;1;4;,263373205873897;3
730;16;1;1;3;59;2;39;1;9;9;8;8;7;4;6;8;7;1;8;13;7;2;1;1;2;6;0;0;2;10;10;10;10;10;1;3;1;1;1;1;1;1;3;2;3;7;6;10;2;10;10;7;8;10;7;0;0;2;1;1;1;1;1;8;12;12;12;12;12;3;5;3;2;3;3;1;1;4;,297840399135974;3
731;16;2;1;3;13;2;50;4;8;8;6;7;6;6;0;2;99;99;31;2;99;3;2;1;2;7;5;0;0;9;9;10;10;10;1;2;3;2;2;1;1;1;1;3;1;6;7;10;2;3;5;6;6;7;6;0;0;2;2;2;1;1;1;8;7;6;12;12;12;3;7;2;2;3;3;3;2;4;,614802808962925;2
732;16;2;2;3;20;2;75;5;6;3;8;5;7;4;5;1;2;6;31;6;6;2;2;2;2;7;5;0;3;10;10;10;10;10;2;3;2;2;2;2;1;1;12;5;1;5;4;10;3;2;6;8;5;7;5;7;0;2;2;1;1;1;1;11;11;12;12;12;12;11;6;3;3;4;5;2;5;4;,942953424357403;3
733;16;2;2;1;15;2;29;1;6;8;6;7;5;4;4;1;8;2;2;8;7;1;2;3;1;6;0;0;0;7;5;10;8;10;1;1;3;1;1;1;2;6;10;5;10;7;6;10;8;8;8;6;7;5;5;0;0;2;1;2;2;2;1;7;12;6;0;5;12;4;8;1;1;1;4;2;2;4;,506117516704392;2
734;148;2;2;3;13;2;27;1;7;6;3;2;0;0;4;4;7;1;4;1;7;2;2;3;1;0;6;0;0;8;8;10;10;10;4;4;4;2;1;1;1;1;8;2;14;8;8;8;8;8;8;0;0;0;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;5;0;3;2;2;2;3;2;4;,874827065593637;2
735;190;2;1;3;44;1;70;5;9;9;6;6;8;6;5;6;7;1;9;99;99;2;2;1;2;8;4;8;4;5;5;10;5;4;2;3;2;3;2;2;3;4;14;5;9;2;10;10;1;6;10;8;0;6;4;7;5;2;1;2;2;1;1;7;12;7;7;12;12;7;6;3;3;5;5;1;2;4;3,29869175045675;2
736;695;2;2;3;20;1;66;5;7;7;4;4;6;6;4;1;2;99;99;99;99;2;5;4;2;7;7;1;1;8;8;9;8;7;2;2;1;2;2;1;1;1;13;5;15;7;6;1;5;10;10;2;8;4;6;0;0;2;2;2;2;1;2;3;7;5;1;12;0;2;8;3;2;2;5;2;2;4;,874827065593637;3
737;463;2;2;3;999;1;73;5;9;9;8;8;6;5;6;2;1;2;98;98;99;2;2;2;1;2;1;1;2;8;6;8;8;9;3;3;2;2;2;3;1;1;2;1;1;7;6;10;1;3;5;5;9;3;3;1;0;2;2;2;2;1;1;6;7;6;1;12;12;1;10;1;1;4;3;2;2;4;,942953424357403;1
738;690;2;2;3;20;2;36;1;8;8;6;8;5;6;7;7;2;99;8;99;99;2;2;1;2;6;0;3;0;10;10;10;10;10;3;3;2;1;1;1;1;1;1;1;1;3;4;5;6;7;10;5;0;0;0;0;0;2;2;2;1;1;1;5;0;0;12;12;12;5;0;5;3;5;4;2;2;4;,942953424357403;3
739;694;2;1;3;27;1;63;5;8;5;6;4;2;1;6;2;1;6;31;6;11;1;2;1;1;4;4;2;3;8;9;10;8;8;3;4;2;2;2;2;1;1;2;1;2;7;6;3;4;10;10;0;8;3;1;0;0;2;2;2;2;2;2;2;8;3;2;3;0;3;8;1;1;2;3;3;2;4;,874827065593637;2
740;691;2;1;3;44;2;44;1;8;8;7;7;6;6;6;2;1;99;22;99;99;1;2;3;1;7;6;4;4;8;8;9;8;8;2;2;3;2;2;2;3;6;12;5;15;7;10;10;1;10;10;0;0;0;0;0;0;2;1;1;1;1;1;5;12;12;12;12;12;5;8;2;2;1;2;2;2;4;2,00929356111465;2
741;700;2;2;3;20;1;50;2;6;7;4;4;4;4;8;2;5;7;2;31;99;3;1;2;1;8;7;0;0;9;9;8;8;8;3;3;3;2;2;2;2;2;12;5;1;5;10;10;1;10;10;7;4;4;2;5;4;2;1;1;1;1;1;7;12;12;12;12;12;5;5;3;3;3;2;3;2;4;,614802808962925;3
742;650;2;2;3;999;2;59;1;7;7;5;5;6;6;0;8;10;99;8;10;99;1;3;4;4;5;4;0;1;9;9;10;7;5;3;3;4;3;3;2;1;1;1;3;1;7;6;10;3;2;5;7;7;7;7;0;0;2;1;2;2;1;1;5;12;5;0;12;12;4;3;3;3;5;3;3;2;4;,942953424357403;1
743;414;2;2;3;89;2;61;1;7;7;8;7;5;3;6;1;6;6;99;99;99;1;2;2;1;8;2;7;0;8;9;5;5;6;2;3;2;2;2;2;1;1;1;1;15;2;7;5;6;3;10;8;3;4;2;5;2;2;1;1;1;1;1;8;12;12;12;12;12;6;8;2;2;4;4;2;7;1;,942953424357403;1
744;17;2;1;3;44;1;67;5;9;5;4;4;7;5;6;4;7;2;6;6;31;3;3;1;3;3;10;2;10;8;8;10;10;9;3;3;3;1;3;3;1;2;12;5;2;1;6;3;7;10;10;0;7;3;6;0;5;2;2;1;2;1;1;1;9;12;4;12;12;5;0;3;3;4;5;3;2;4;1,43621861941823;2
745;697;2;2;1;17;2;73;5;7;7;8;9;5;5;6;1;2;11;98;99;99;1;1;2;1;6;0;0;4;9;5;10;9;9;1;5;2;1;2;2;1;1;1;1;1;7;4;2;3;10;10;10;4;2;0;0;0;2;2;2;2;2;1;9;2;2;0;11;12;4;10;1;1;1;4;2;2;4;,574370201074409;2
746;692;2;2;1;20;2;44;1;7;7;7;7;5;5;5;16;98;99;99;99;99;2;2;3;1;6;5;0;5;7;8;10;10;9;2;2;1;1;1;1;1;1;2;2;2;6;1;3;4;10;10;4;7;3;5;0;0;2;2;2;2;1;1;4;6;3;0;12;12;0;10;1;1;1;5;3;2;4;,874827065593637;3
747;148;2;1;3;13;1;76;5;7;8;7;6;5;4;1;6;5;7;32;31;11;3;2;1;2;8;7;5;2;8;9;9;9;9;2;2;1;1;4;1;2;4;14;5;9;4;2;5;8;8;8;5;2;5;3;5;4;2;1;1;1;1;2;5;12;12;12;12;8;5;0;3;3;5;4;2;2;4;3,29869175045675;2
748;693;2;2;3;20;1;60;1;7;7;6;7;5;5;6;8;2;99;99;99;99;2;2;1;2;7;6;5;6;8;6;7;8;7;2;3;1;2;2;2;1;1;1;2;1;7;2;6;3;10;10;7;2;5;1;7;1;2;1;1;2;1;1;8;12;12;6;12;12;5;6;3;3;4;4;1;2;4;,942953424357403;3
749;16;2;1;2;20;1;76;5;8;8;5;4;5;4;6;6;1;28;6;6;99;2;2;1;1;6;5;1;4;8;8;9;8;5;3;3;2;2;2;2;1;1;12;5;5;7;6;10;5;4;10;4;5;4;5;2;0;2;2;2;2;2;2;5;6;4;2;6;1;3;6;2;2;2;5;1;3;4;1,51274118464775;3
750;700;2;1;3;999;2;67;5;6;4;5;7;5;6;3;1;2;2;14;1;98;1;2;3;1;6;3;0;3;10;5;10;8;6;1;1;1;1;1;2;1;1;1;2;1;6;7;5;2;4;3;9;8;8;6;0;0;2;2;1;1;1;1;8;7;12;12;12;12;5;10;2;1;3;1;2;2;4;,614802808962925;1
751;706;2;1;3;15;2;62;1;5;5;7;6;6;6;6;1;2;99;8;1;99;2;2;1;1;7;5;0;0;8;8;10;10;10;2;3;3;2;2;2;1;1;4;1;3;7;10;10;2;10;10;6;5;8;5;0;0;2;2;2;2;1;2;7;5;6;5;12;0;7;5;2;2;5;3;3;2;4;1,2318278489646;2
752;701;2;2;3;20;2;54;1;8;8;5;5;3;2;7;8;1;13;8;13;1;3;3;2;1;7;5;0;0;10;10;10;10;10;2;3;2;2;2;2;1;1;1;2;1;2;7;10;10;10;10;8;1;6;4;3;0;2;1;1;2;1;1;11;12;12;5;12;12;5;5;2;2;4;5;1;2;4;,942953424357403;3
753;709;2;2;3;20;2;30;1;8;8;6;6;4;5;5;6;2;7;7;6;9;2;2;2;1;6;5;6;0;10;10;10;8;10;2;2;4;2;2;1;1;1;12;5;1;2;4;10;10;10;10;5;0;5;2;5;2;2;2;2;1;1;1;6;0;4;12;12;12;5;11;3;3;1;4;2;2;4;,574370201074409;3
754;463;2;2;3;999;2;50;1;8;8;7;7;5;6;4;1;2;99;6;9;99;1;1;2;1;9;3;0;0;8;10;10;10;10;1;2;1;1;1;1;1;1;1;1;15;7;2;6;3;10;10;10;0;6;5;3;0;2;2;2;2;1;2;9;6;4;4;12;0;6;10;1;1;2;5;1;2;4;,574370201074409;1
755;700;2;1;3;13;1;26;1;6;6;5;5;4;3;2;1;7;7;1;7;7;3;3;3;1;5;5;5;5;7;7;10;10;10;3;4;2;1;2;2;3;2;1;3;9;4;2;3;8;8;8;6;3;0;0;2;5;2;1;1;1;1;1;6;12;12;12;12;12;7;5;3;3;4;3;3;2;4;3,29869175045675;2
756;695;2;1;3;20;2;45;1;7;5;5;11;3;3;6;6;7;1;6;7;1;1;1;1;2;6;4;3;4;10;10;8;8;8;3;3;3;3;3;3;1;1;10;5;10;7;6;10;8;8;8;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;0;0;5;5;3;4;3;4;2;2;4;,541745498553275;3
757;694;2;2;3;46;2;22;4;8;8;7;7;7;7;5;1;2;99;2;6;1;1;1;2;2;6;6;4;4;10;10;10;10;10;1;1;4;1;1;1;2;2;13;5;15;7;10;10;4;10;10;5;6;6;5;4;0;2;1;1;1;1;1;5;12;12;12;12;12;4;5;2;1;2;5;2;2;4;2,00929356111465;2
758;702;2;2;3;84;2;54;1;6;6;7;7;6;6;4;2;6;17;2;6;8;3;2;2;1;7;5;0;3;9;7;10;8;7;2;3;2;2;2;2;1;1;2;1;2;5;6;7;4;10;10;5;10;5;5;0;0;2;2;2;2;2;2;6;9;4;0;4;0;1;10;1;1;3;2;3;2;4;,936410239036902;2
759;691;2;1;3;44;1;75;5;6;6;7;7;4;4;5;1;8;4;99;99;99;1;2;1;1;7;5;4;5;9;11;8;11;6;2;3;1;2;2;3;1;1;2;1;2;6;7;10;1;10;10;7;9;6;6;0;0;2;2;2;2;1;2;8;9;6;3;12;0;7;10;1;2;3;4;3;2;4;,936410239036902;2
760;696;2;1;3;20;2;59;1;8;8;6;6;5;5;7;1;6;99;9;9;6;2;2;2;1;7;5;5;3;8;6;10;8;8;2;3;1;2;2;2;1;1;2;2;2;7;6;10;4;5;10;6;9;6;8;0;0;2;2;2;1;1;1;8;8;6;12;12;12;2;7;2;2;3;4;2;2;4;,936410239036902;3
761;148;2;2;3;15;1;57;1;5;5;5;4;4;4;3;1;2;99;2;99;99;2;2;3;1;6;5;1;1;9;6;9;8;8;3;4;4;3;2;2;3;3;14;5;9;7;6;3;1;2;4;4;3;2;1;0;0;2;1;1;1;1;1;7;12;12;12;12;12;5;5;1;1;4;3;3;5;4;3,29869175045675;2
762;690;2;2;3;69;2;74;5;7;5;5;4;0;0;3;18;99;99;22;2;99;1;2;1;1;10;3;7;3;10;10;10;10;10;4;4;1;1;1;1;2;4;14;5;9;2;10;10;8;8;8;2;0;3;1;3;1;2;1;1;1;1;1;5;12;12;12;12;12;5;5;3;3;1;5;2;2;4;2,00929356111465;2
763;16;2;1;3;13;1;67;5;8;7;10;10;6;5;8;1;2;2;99;99;99;1;1;1;1;10;5;4;0;10;7;10;7;6;1;4;4;3;1;2;1;1;7;2;1;4;10;10;1;2;10;10;6;5;0;4;10;2;1;1;1;1;1;9;12;12;12;12;12;7;8;3;2;4;5;2;2;4;,942953424357403;2
764;703;2;2;3;999;2;64;2;2;2;2;2;2;2;8;11;21;28;6;98;99;3;1;2;2;9;0;9;0;10;10;10;10;10;4;4;1;2;2;2;2;1;1;2;1;5;4;3;7;6;10;4;4;0;0;4;9;2;2;2;2;1;1;10;0;0;5;12;12;10;8;1;3;2;2;3;2;4;,574370201074409;1
765;648;2;1;3;36;1;65;5;5;5;6;6;3;2;2;4;4;99;99;99;99;2;1;3;2;0;5;5;4;8;3;10;8;10;3;3;3;3;3;1;1;1;7;1;7;5;1;6;8;8;8;0;0;0;0;0;10;1;1;1;1;1;1;12;12;12;12;12;12;5;5;4;3;5;2;3;5;4;1,00865327155689;2
766;463;2;1;3;3;2;56;6;7;7;6;6;4;5;6;8;4;9;10;26;6;2;2;4;4;5;5;0;1;5;5;8;6;6;3;3;3;3;3;1;1;1;13;5;15;6;7;10;3;1;2;5;5;5;5;0;0;2;1;1;1;1;1;5;12;12;12;12;12;3;1;3;2;2;4;2;2;4;,750328903870316;2
767;704;2;2;3;20;1;60;1;8;6;8;8;7;6;2;8;1;99;8;99;99;2;2;2;2;7;4;3;0;7;6;9;8;9;1;1;3;2;2;2;1;1;1;1;1;7;6;10;5;10;10;8;6;7;6;3;0;2;1;2;1;1;2;7;12;5;12;12;6;4;5;3;2;5;2;3;2;4;,942953424357403;3
768;699;2;1;3;20;1;57;1;8;8;6;6;5;5;5;8;2;1;8;13;7;2;2;2;1;8;6;2;2;10;10;10;10;10;2;2;2;2;2;2;1;1;3;2;3;7;2;6;9;9;9;8;0;9;5;0;0;2;2;2;1;1;1;6;0;7;12;12;12;3;3;2;2;5;3;3;2;4;1,2318278489646;3
769;17;2;1;3;999;2;78;5;9;9;5;7;6;6;10;8;99;99;99;99;99;1;1;1;1;7;6;5;2;8;10;10;5;6;2;3;2;2;2;2;1;1;3;1;3;7;10;10;5;10;10;5;0;5;7;0;0;2;1;2;1;1;1;9;12;9;12;12;12;5;5;2;1;4;2;3;5;4;1,2318278489646;1
770;709;2;2;3;20;2;55;1;4;4;1;1;0;0;0;7;1;4;7;8;2;4;4;3;3;2;0;4;0;10;0;10;10;10;4;4;3;4;4;1;2;4;14;5;9;2;5;4;6;10;10;2;0;0;0;2;0;2;1;1;1;1;1;0;12;12;12;12;12;5;0;5;3;5;5;3;2;4;3,29869175045675;3
771;697;2;1;1;32;2;76;5;7;7;6;6;6;6;7;2;1;99;99;99;99;1;2;2;2;5;3;3;3;5;6;5;6;4;2;5;2;2;2;2;1;1;1;2;1;7;4;10;3;2;10;7;5;6;5;3;0;2;2;2;2;2;2;7;5;6;4;4;3;6;6;2;1;1;2;2;2;4;,574370201074409;1
772;694;2;1;3;69;1;68;5;7;7;6;6;4;4;6;4;2;5;4;4;5;2;2;1;2;7;4;8;2;5;0;7;4;4;3;4;1;3;2;1;1;1;6;2;6;5;3;2;1;7;10;6;0;2;0;8;7;2;1;2;2;1;2;6;12;0;7;12;4;7;0;3;3;4;5;1;2;4;2,20578650558434;2
773;700;2;2;3;27;1;50;1;7;7;6;6;6;5;2;8;11;1;8;1;2;2;3;1;1;9;7;4;4;6;8;9;9;8;3;3;2;3;3;3;2;1;13;5;15;6;7;10;5;1;4;8;7;5;7;3;0;2;2;2;1;1;1;6;4;3;12;12;12;6;7;2;2;1;4;2;2;4;,874827065593637;2
774;650;2;1;3;11;1;64;5;9;9;7;7;6;6;4;1;2;99;99;99;99;1;2;2;1;8;6;3;2;7;5;9;7;2;1;1;3;2;2;1;1;1;1;2;1;7;2;10;5;3;10;9;3;8;6;6;1;2;2;2;2;1;1;8;6;6;3;12;12;4;4;3;3;4;5;2;2;4;,942953424357403;2
775;696;2;2;3;20;1;43;6;7;6;6;5;6;5;5;7;1;2;7;2;8;2;2;4;1;8;5;0;0;10;10;10;10;10;3;3;3;2;2;2;1;2;12;5;5;7;6;10;5;4;1;5;3;3;6;0;0;2;2;2;2;1;2;3;3;0;0;12;0;4;5;2;2;2;5;2;5;4;1,51274118464775;3
776;190;2;2;3;44;2;62;6;9;9;4;4;5;5;5;18;1;6;7;6;28;3;2;2;1;8;6;2;2;7;6;9;9;8;2;2;2;2;3;2;1;2;10;5;1;7;4;2;1;3;6;5;2;4;2;3;0;2;1;2;2;1;1;7;12;11;11;12;12;5;5;2;3;3;5;1;2;4;,614802808962925;2
777;704;2;2;3;20;2;25;4;8;8;7;6;6;6;4;8;2;6;99;99;99;2;2;3;2;7;5;5;0;8;6;10;8;8;2;2;2;2;1;1;1;1;1;2;3;8;8;8;8;8;8;8;0;7;2;7;0;2;2;2;2;2;1;7;4;5;4;5;12;5;4;3;3;3;4;1;2;4;,803148068758848;3
778;414;2;2;3;999;2;77;5;8;8;8;8;6;7;7;2;1;99;31;99;99;1;1;2;1;8;8;0;4;9;5;10;8;7;2;2;4;2;2;4;1;1;1;2;1;7;6;4;2;3;5;9;8;7;5;0;0;2;2;2;1;1;1;9;7;7;12;12;12;0;7;2;2;4;2;3;5;4;,942953424357403;1
779;19;2;2;3;13;2;75;5;8;8;5;5;4;4;3;5;6;8;8;5;6;3;2;4;1;8;4;8;4;10;10;10;10;10;1;3;1;1;1;1;1;1;1;1;1;5;7;2;10;10;10;8;3;3;1;1;1;2;1;2;2;1;1;11;12;5;5;12;12;6;6;3;2;5;5;2;2;4;,942953424357403;2
780;693;2;2;3;3;1;70;5;8;8;7;8;6;6;7;1;7;99;7;99;99;2;1;1;2;7;5;0;0;8;7;7;7;6;2;2;2;2;2;2;1;1;3;1;3;6;7;10;1;5;10;7;6;8;7;2;0;2;1;1;2;1;1;8;12;12;6;12;12;4;6;3;2;4;2;2;5;4;1,2318278489646;2
781;16;2;1;3;44;2;52;1;8;8;7;7;5;6;5;1;11;2;31;19;1;2;2;2;2;10;4;6;4;9;9;10;10;10;2;1;4;2;2;2;1;1;12;5;1;2;7;5;1;10;10;7;0;2;2;2;0;2;1;1;1;1;2;8;12;12;12;12;5;5;0;3;3;4;5;2;5;4;,942953424357403;2
782;148;2;2;3;54;2;52;1;8;8;6;6;6;6;8;1;2;7;7;4;31;2;2;4;3;7;5;7;6;8;8;7;8;7;3;3;3;2;2;2;1;1;6;1;6;4;5;2;7;3;1;5;0;6;2;8;6;2;2;2;2;1;1;6;0;6;8;12;12;6;0;3;3;4;4;1;2;4;2,20578650558434;2
783;690;2;2;3;2;1;85;5;8;8;7;7;6;8;8;1;7;99;14;99;99;2;2;1;2;9;0;0;0;8;11;8;11;11;2;4;4;3;3;5;1;1;12;5;3;7;10;10;10;10;10;5;0;9;5;0;0;1;1;1;1;1;1;12;12;12;12;12;12;5;5;3;3;4;2;2;5;4;1,2318278489646;1
784;701;2;2;3;71;1;58;1;8;8;7;7;6;5;3;1;4;7;31;99;99;1;2;1;1;5;5;0;0;9;11;8;8;8;2;3;2;1;1;1;1;1;5;3;5;1;2;3;4;10;10;3;3;3;6;0;0;2;2;2;2;2;1;6;6;5;0;6;12;3;7;2;1;4;3;3;2;4;2,48349318533897;1
785;699;2;1;3;44;1;85;5;7;8;6;5;2;2;5;4;98;6;9;6;98;1;1;2;1;3;5;1;0;10;7;8;5;4;2;3;1;3;3;3;1;5;14;5;12;7;5;1;6;3;10;5;0;4;0;8;1;2;1;2;2;1;1;7;12;6;9;12;12;5;0;4;3;5;5;2;7;2;3,29869175045675;2
786;650;2;2;3;13;1;40;1;8;8;7;7;5;5;0;1;5;2;5;99;99;2;2;3;1;4;5;0;0;10;7;7;7;7;2;3;2;1;1;1;1;1;12;5;2;7;6;3;2;1;4;7;7;0;5;0;0;2;2;2;2;1;1;7;7;4;4;12;12;4;4;2;2;3;2;2;2;4;,936410239036902;2
787;709;2;2;3;999;1;48;1;5;5;3;3;3;3;1;2;8;7;2;10;8;2;4;1;1;5;5;0;4;8;10;10;10;7;3;3;1;1;1;2;1;1;13;5;15;7;5;10;10;10;10;11;11;11;11;11;11;2;1;1;1;1;1;11;12;12;12;12;12;11;11;6;4;6;5;3;2;4;1,43621861941823;1
788;697;2;1;3;54;2;82;3;8;8;9;10;4;4;6;1;8;2;8;99;99;1;2;4;1;6;3;0;0;8;6;8;11;11;1;1;4;1;2;5;1;1;13;5;15;2;7;10;10;10;10;6;0;5;0;0;0;2;1;1;1;1;1;11;12;12;12;12;12;11;11;3;4;5;1;3;5;4;,942953424357403;2
789;702;2;2;3;20;1;63;1;4;2;4;2;5;4;7;7;6;8;7;6;1;2;2;1;1;4;4;0;11;4;4;10;8;5;1;3;2;2;2;2;1;1;1;1;1;7;6;10;2;3;10;6;6;5;5;0;0;2;1;1;1;1;1;6;12;12;12;12;12;4;6;3;3;4;3;3;2;4;,942953424357403;3
790;190;2;2;3;2;1;41;1;5;4;3;2;3;0;5;1;2;2;98;6;99;3;2;3;1;5;5;0;5;0;0;10;10;10;3;3;3;1;1;2;2;1;12;5;2;7;6;1;2;4;5;0;5;2;3;0;0;2;2;2;1;1;1;0;4;1;12;12;12;0;5;3;2;3;2;3;5;4;,936410239036902;1
791;700;2;1;3;44;2;59;1;8;8;7;6;6;5;7;1;7;2;9;9;99;2;3;3;2;8;0;0;0;10;10;10;10;10;2;2;2;1;1;2;1;1;1;3;1;6;7;10;4;3;2;7;6;7;4;0;0;2;2;2;2;1;1;5;5;5;3;12;12;3;9;2;2;1;5;2;2;4;,574370201074409;2
792;693;2;1;3;13;1;53;1;7;8;7;7;4;4;0;5;8;99;8;99;99;2;2;3;1;0;0;0;0;10;10;10;10;10;3;3;2;2;2;1;1;1;12;5;1;7;10;10;3;10;10;7;4;7;4;1;0;2;2;2;2;2;2;7;7;6;9;8;6;5;5;2;3;3;2;1;2;4;,614802808962925;2
793;17;2;2;3;20;1;69;1;8;8;9;7;6;5;6;8;2;7;2;1;7;1;1;1;1;8;2;4;2;9;9;9;9;8;1;3;1;1;1;1;1;1;1;1;15;7;2;4;8;8;8;10;0;5;2;2;0;2;2;2;2;1;2;10;0;5;2;12;0;5;9;2;1;3;4;1;2;4;,614802808962925;3
794;696;2;1;3;20;2;87;5;8;8;6;6;4;4;5;2;2;99;6;99;99;2;2;1;1;6;0;4;4;8;8;8;5;8;2;3;2;2;2;2;1;1;13;5;15;10;10;10;10;10;10;11;11;11;11;11;11;2;1;1;1;1;1;11;12;12;12;12;12;5;11;5;4;4;2;2;5;4;,942953424357403;3
795;148;2;2;3;20;2;60;1;7;8;5;5;3;4;6;6;7;99;6;99;99;2;2;1;1;7;6;0;2;8;8;6;8;6;2;3;2;1;1;1;2;2;2;3;14;6;7;10;4;1;10;5;6;2;3;1;0;2;2;2;2;2;1;5;5;3;6;4;12;4;6;3;2;1;5;2;2;4;,874827065593637;3
