elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P0401;P0402;P0403;P0404;P0405;P0406;P05;P0601;P0602;P0603;P0701;P0702;P0703;P08;P09;P10;P11;P1201;P1202;P1203;P1204;P1301;P1302;P1401;P1402;P1403;P1501;P1502;P16;P1701;P1702;P1703;P18;P19;P20;P21;P22;P2301;P2302;P2303;P2401;P2402;P2403;P2501;P2502;P2503;P2504;P2505;P2506;P26A01;P26A02;P26A03;P26A04;P26A05;P26A06;P26B01;P26B02;P26B03;P26B04;P26B05;P26B06;P27;P28;P29;P30;P31;P32;P33;P34;P35;wt;udatam
68;348;1;2;2;59;2;42;1;6;7;6;4;6;4;3;13;15;8;23;6;99;2;3;2;1;7;6;2;5;6;8;6;4;4;3;3;1;1;1;1;1;2;2;3;2;7;6;10;5;10;10;3;7;3;6;0;0;2;2;2;2;1;1;3;4;3;0;12;12;1;6;2;2;1;4;2;2;4;,393478332779262;3
69;427;1;2;3;36;2;54;1;7;6;5;4;5;4;3;5;1;2;6;99;99;2;1;1;2;6;0;0;0;10;10;10;7;5;1;3;4;2;2;3;1;2;12;5;15;7;10;10;2;10;10;0;0;0;0;0;0;2;1;1;1;1;1;3;12;12;12;12;12;5;0;3;3;5;2;3;2;4;,394361705720365;2
70;71;1;1;3;59;1;29;2;6;5;5;5;2;3;1;2;2;18;99;99;99;3;3;3;2;2;0;1;1;1;1;9;7;7;3;4;3;3;3;2;1;1;7;3;14;4;2;5;8;8;8;1;1;1;1;1;1;2;1;2;2;1;1;5;12;3;5;12;12;5;5;3;4;1;5;3;1;4;,444914228132842;3
71;648;1;1;3;59;1;63;5;8;8;8;8;7;7;5;1;2;99;6;99;99;1;1;2;1;6;5;0;4;8;8;10;8;7;2;2;4;2;2;2;1;1;2;1;2;7;6;10;1;3;10;8;9;8;5;0;0;2;2;1;2;1;1;8;8;12;0;12;12;6;7;2;2;1;3;3;2;4;,393478332779262;3
72;509;1;2;3;59;1;29;1;9;9;5;5;0;0;0;2;2;3;2;2;6;3;3;3;3;0;0;0;0;0;0;10;10;10;3;4;4;1;1;1;2;2;12;5;9;5;3;6;1;10;10;5;3;0;0;0;0;1;2;1;1;1;1;12;11;12;12;12;12;11;5;3;2;5;3;3;2;4;1,69586410136416;3
73;911;1;2;3;59;1;26;1;8;9;7;7;6;5;6;1;2;99;1;99;99;2;2;2;2;7;7;2;4;7;4;9;6;4;2;2;3;1;2;2;1;1;12;5;14;6;7;10;4;2;1;4;4;2;5;0;0;2;1;1;1;1;1;6;12;12;12;12;12;2;5;3;2;2;5;1;1;4;,252399479425255;3
74;707;1;2;3;59;1;45;1;5;5;0;0;0;0;5;8;10;2;8;2;6;1;3;3;1;5;5;5;5;10;10;10;10;10;4;4;1;2;1;2;1;1;13;5;15;8;8;8;8;8;8;0;0;0;0;0;0;2;2;1;2;1;1;0;0;12;0;12;12;5;5;3;3;4;2;2;1;4;,445971136076519;3
75;820;1;1;3;59;2;26;1;8;9;7;7;6;5;3;6;2;8;8;2;1;2;2;2;2;7;6;4;4;8;8;10;10;10;2;2;2;1;1;1;1;1;12;5;3;6;7;4;3;5;1;6;6;7;7;0;0;2;2;2;1;1;1;7;6;5;12;12;12;3;6;2;2;1;4;2;1;4;,285430560198002;3
76;409;1;2;3;2;2;44;1;7;6;4;4;4;4;1;6;8;1;6;99;99;1;2;2;1;3;3;0;0;10;10;10;10;10;3;3;1;1;2;2;1;1;2;1;2;7;6;10;4;5;10;6;8;4;6;0;0;2;2;2;2;2;2;5;7;5;0;5;0;2;9;1;1;1;4;2;2;4;,393478332779262;2
77;706;1;1;3;59;1;68;5;7;7;8;8;6;6;5;1;8;2;8;10;7;1;2;1;1;6;6;0;0;7;8;8;9;9;2;2;1;1;1;1;1;1;1;1;1;7;6;10;2;10;10;10;7;5;5;2;0;2;2;2;2;1;2;8;5;4;3;12;0;5;9;2;1;2;5;2;1;4;,252399479425255;3
78;427;1;2;3;59;1;44;6;10;10;9;7;4;6;7;1;2;8;6;99;99;1;1;1;1;10;10;4;4;10;10;10;8;10;2;4;1;1;3;2;5;5;14;5;12;5;4;6;1;3;10;8;8;8;0;5;5;2;1;1;1;1;1;7;12;12;12;12;12;5;7;2;3;4;4;3;7;2;1,69586410136416;3
79;281;1;2;3;59;2;29;1;5;5;6;5;4;4;8;99;99;99;2;1;99;1;1;1;2;8;5;4;5;8;8;7;7;7;1;2;3;4;4;3;2;2;10;5;10;7;10;10;3;6;10;3;3;5;1;4;0;1;1;1;1;1;1;12;12;12;12;12;12;6;3;3;3;5;2;3;7;1;,551225954638507;3
80;390;1;2;3;59;2;63;6;5;4;5;5;3;0;5;1;10;5;10;7;10;2;2;2;2;5;5;0;4;10;10;10;10;10;4;4;3;1;1;1;1;1;13;5;15;7;6;10;3;10;10;5;0;5;0;0;0;2;1;1;2;1;1;5;12;12;5;12;12;5;0;3;3;5;3;3;1;4;,394361705720365;3
